"lote","prioridad","sku_gti","nombre_tarjeta","existencia","nombre_archivo_sugerido","foto_propia_o_fuente_autorizada","source_type","url_ficha_que_prueba_sku","evidencia_referencia_visible","confirmacion_sin_marca_de_agua_ajena","autorizacion_de_uso","estado"
"01","Alta: existencia disponible","GTI-038","Tulipa lado caja GTI — Hyundai Vision / Kia Sephia","4","GTI-038.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI01-004","Punta lado caja GTI — Renault R9 / R12 / R18 / Twingo 8V","3","GTI01-004.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI01-016","Punta lado rueda GTI — Renault Clio II / Symbol","3","GTI01-016.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI03-003","Punta lado rueda GTI — Kia Rio Stylus 1.5","3","GTI03-003.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI01-092","Punta lado rueda GTI — Renault Kwid","2","GTI01-092.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI03-072","Punta lado rueda GTI — Mazda 2","2","GTI03-072.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI04-089","Punta lado rueda GTI — Chevrolet Cobalt / Taxi Elite","2","GTI04-089.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI04-D01","Punta lado rueda GTI — Chevrolet Corsa","2","GTI04-D01.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI06-037","Tulipa lado caja GTI — Kia Rio Xcite / Cerato / Forte / Hyundai i25","2","GTI06-037.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
"01","Alta: existencia disponible","GTI06-081","Punta lado rueda GTI — Hyundai Eon","2","GTI06-081.jpg","","own | manufacturer | authorized-distributor","","Etiqueta, grabado o página que identifica exactamente el SKU","Pendiente","Pendiente","Pendiente"
